competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Brasileirao,2012,104,Beira-Rio,mandante,INTERNACIONAL - RS,pro,Elton,20' (1ºT),20.0
Brasileirao,2012,104,Beira-Rio,visitante,ATLETICO - GO,pro,Renie,27' (1ºT),27.0
Brasileirao,2012,104,Beira-Rio,mandante,INTERNACIONAL - RS,pro,Dagoberto,1' (2ºT),46.0
Brasileirao,2012,104,Beira-Rio,mandante,INTERNACIONAL - RS,pro,Jakson Avelino,13' (2ºT),58.0
Brasileirao,2012,104,Beira-Rio,mandante,INTERNACIONAL - RS,pro,Fred,31' (2ºT),76.0
Brasileirao,2012,117,Serra Dourada,mandante,ATLETICO - GO,pro,Wesley,16' (1ºT),16.0
Brasileirao,2012,117,Serra Dourada,visitante,SAO PAULO - SP,pro,João Schmidt,3' (2ºT),48.0
