competicao,temporada,id_partida,estadio,cidade,uf,dia_semana,data,hora,mandante,visitante,mand_placar,visit_placar,vencedor_regular,disputa_penaltis,mand_penaltis,visit_penaltis,vencedor_penaltis
Brasileirao,2018,334,Mineirão,Belo Horizonte,MG,Quarta,2018-11-14,21:45:00,CRUZEIRO - MG,CORINTHIANS - SP,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,335,Ilha do Retiro,Recife,PE,Quarta,2018-11-14,21:45:00,SPORT - PE,VITORIA - BA,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,336,Allianz Parque,Sao Paulo,SP,Quarta,2018-11-14,21:45:00,PALMEIRAS - SP,FLUMINENSE - RJ,3,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,337,Arena Condá,Chapeco,SC,Quinta,2018-11-15,17:00:00,CHAPECOENSE - SC,BOTAFOGO - RJ,0,1,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,338,Maracanã,Rio de Janeiro,RJ,Quinta,2018-11-15,17:00:00,FLAMENGO - RJ,SANTOS - SP,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,339,Morumbi,Sao Paulo,SP,Quinta,2018-11-15,19:00:00,SAO PAULO - SP,GREMIO - RS,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,340,Beira-Rio,Porto Alegre,RS,Quinta,2018-11-15,21:00:00,INTERNACIONAL - RS,AMERICA - MG,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,341,Manoel Barradas,Salvador,BA,Sábado,2018-11-17,19:00:00,VITORIA - BA,ATLETICO - PR,1,2,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,342,Arena Corinthians,Sao Paulo,SP,Sábado,2018-11-17,19:00:00,CORINTHIANS - SP,VASCO DA GAMA - RJ,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,350,Independência,Belo Horizonte,MG,Sábado,2018-11-17,21:00:00,ATLETICO - MG,BAHIA - BA,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,344,Do Café,Londrina,PR,Domingo,2018-11-18,17:00:00,PARANA - PR,PALMEIRAS - SP,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,345,Independência,Belo Horizonte,MG,Domingo,2018-11-18,17:00:00,AMERICA - MG,SANTOS - SP,2,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,346,Nilton Santos,Rio de Janeiro,RJ,Domingo,2018-11-18,17:00:00,BOTAFOGO - RJ,INTERNACIONAL - RS,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,347,Ilha do Retiro,Recife,PE,Domingo,2018-11-18,17:00:00,SPORT - PE,FLAMENGO - RJ,0,1,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,348,Morumbi,Sao Paulo,SP,Domingo,2018-11-18,19:00:00,SAO PAULO - SP,CRUZEIRO - MG,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,349,Arena do Grêmio,Porto Alegre,RS,Domingo,2018-11-18,19:00:00,GREMIO - RS,CHAPECOENSE - SC,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,343,Maracanã,Rio de Janeiro,RJ,Segunda,2018-11-19,20:00:00,FLUMINENSE - RJ,CEARA - CE,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,351,Beira-Rio,Porto Alegre,RS,Quarta,2018-11-21,19:30:00,INTERNACIONAL - RS,ATLETICO - MG,1,2,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,352,Vila Belmiro,Santos,SP,Quarta,2018-11-21,21:00:00,SANTOS - SP,BOTAFOGO - RJ,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,353,Mineirão,Belo Horizonte,MG,Quarta,2018-11-21,21:45:00,CRUZEIRO - MG,VITORIA - BA,3,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,354,Arena da Baixada,Curitiba,PR,Quarta,2018-11-21,21:45:00,ATLETICO - PR,CORINTHIANS - SP,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,355,Maracanã,Rio de Janeiro,RJ,Quarta,2018-11-21,21:45:00,FLAMENGO - RJ,GREMIO - RS,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,356,Allianz Parque,Sao Paulo,SP,Quarta,2018-11-21,21:45:00,PALMEIRAS - SP,AMERICA - MG,4,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,357,São Januário,Rio de Janeiro,RJ,Quinta,2018-11-22,20:00:00,VASCO DA GAMA - RJ,SAO PAULO - SP,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,358,Arena Condá,Chapeco,SC,Quinta,2018-11-22,21:00:00,CHAPECOENSE - SC,SPORT - PE,2,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,359,Arena Fonte Nova,Salvador,BA,Quinta,2018-11-22,21:00:00,BAHIA - BA,FLUMINENSE - RJ,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,360,Arena Castelão,Fortaleza,CE,Quinta,2018-11-22,21:00:00,CEARA - CE,PARANA - PR,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,361,Vila Belmiro,Santos,SP,Sábado,2018-11-24,20:00:00,SANTOS - SP,ATLETICO - MG,3,2,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,362,Mineirão,Belo Horizonte,MG,Domingo,2018-11-25,17:00:00,CRUZEIRO - MG,FLAMENGO - RJ,0,2,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,363,Manoel Barradas,Salvador,BA,Domingo,2018-11-25,17:00:00,VITORIA - BA,GREMIO - RS,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,364,São Januário,Rio de Janeiro,RJ,Domingo,2018-11-25,17:00:00,VASCO DA GAMA - RJ,PALMEIRAS - SP,0,1,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,365,Arena da Baixada,Curitiba,PR,Domingo,2018-11-25,17:00:00,ATLETICO - PR,CEARA - CE,2,2,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,366,Independência,Belo Horizonte,MG,Domingo,2018-11-25,19:00:00,AMERICA - MG,BAHIA - BA,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,367,Arena Corinthians,Sao Paulo,SP,Domingo,2018-11-25,19:00:00,CORINTHIANS - SP,CHAPECOENSE - SC,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,368,Beira-Rio,Porto Alegre,RS,Domingo,2018-11-25,19:00:00,INTERNACIONAL - RS,FLUMINENSE - RJ,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,369,Nilton Santos,Rio de Janeiro,RJ,Segunda,2018-11-26,20:00:00,BOTAFOGO - RJ,PARANA - PR,2,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,370,Morumbi,Sao Paulo,SP,Segunda,2018-11-26,20:00:00,SAO PAULO - SP,SPORT - PE,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,371,Independência,Belo Horizonte,MG,Sábado,2018-12-01,19:00:00,ATLETICO - MG,BOTAFOGO - RJ,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,376,Maracanã,Rio de Janeiro,RJ,Sábado,2018-12-01,19:00:00,FLAMENGO - RJ,ATLETICO - PR,1,2,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,372,Durival Britto,Curitiba,PR,Domingo,2018-12-02,17:00:00,PARANA - PR,INTERNACIONAL - RS,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,373,Arena Condá,Chapeco,SC,Domingo,2018-12-02,17:00:00,CHAPECOENSE - SC,SAO PAULO - SP,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,374,Pituaçu,Salvador,BA,Domingo,2018-12-02,17:00:00,BAHIA - BA,CRUZEIRO - MG,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,375,Maracanã,Rio de Janeiro,RJ,Domingo,2018-12-02,17:00:00,FLUMINENSE - RJ,AMERICA - MG,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,377,Arena Castelão,Fortaleza,CE,Domingo,2018-12-02,17:00:00,CEARA - CE,VASCO DA GAMA - RJ,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,378,Ilha do Retiro,Recife,PE,Domingo,2018-12-02,17:00:00,SPORT - PE,SANTOS - SP,2,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,379,Allianz Parque,Sao Paulo,SP,Domingo,2018-12-02,17:00:00,PALMEIRAS - SP,VITORIA - BA,3,2,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,380,Arena do Grêmio,Porto Alegre,RS,Domingo,2018-12-02,17:00:00,GREMIO - RS,CORINTHIANS - SP,1,0,mandante,False,0,0,sem disputa de pênaltis
