competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Brasileirao,2017,22,São Januário,visitante,FLUMINENSE - RJ,pro,Henrique Dourado,13' (2ºT),58.0
Brasileirao,2017,22,São Januário,visitante,FLUMINENSE - RJ,pro,Henrique Dourado,20' (2ºT),65.0
Brasileirao,2017,22,São Januário,mandante,VASCO DA GAMA - RJ,pro,Manga,29' (2ºT),74.0
Brasileirao,2017,22,São Januário,mandante,VASCO DA GAMA - RJ,pro,Nene,45+3' (2ºT),90.5
Brasileirao,2017,23,Vila Belmiro,visitante,CRUZEIRO - MG,pro,Thiago Neves,37' (2ºT),82.0
Brasileirao,2017,24,Morumbi,mandante,SAO PAULO - SP,pro,Lucas Pratto,16' (2ºT),61.0
Brasileirao,2017,24,Morumbi,mandante,SAO PAULO - SP,pro,Luiz,38' (2ºT),83.0
Brasileirao,2017,25,Independência,mandante,ATLETICO - MG,pro,Robinho,36' (1ºT),36.0
Brasileirao,2017,25,Independência,visitante,PONTE PRETA - SP,pro,Lucca,3' (2ºT),48.0
Brasileirao,2017,25,Independência,visitante,PONTE PRETA - SP,pro,Lucca,5' (2ºT),50.0
Brasileirao,2017,25,Independência,mandante,ATLETICO - MG,pro,Rafael Moura,35' (2ºT),80.0
Brasileirao,2017,26,Arena da Baixada,visitante,FLAMENGO - RJ,pro,Mancuello,24' (1ºT),24.0
Brasileirao,2017,26,Arena da Baixada,mandante,ATLETICO - PR,pro,Thiago Heleno,10' (2ºT),55.0
Brasileirao,2017,27,Ilha do Retiro,visitante,GREMIO - RS,pro,Fernandinho,5' (1ºT),5.0
Brasileirao,2017,27,Ilha do Retiro,visitante,GREMIO - RS,pro,R. Thyere,17' (1ºT),17.0
Brasileirao,2017,27,Ilha do Retiro,mandante,SPORT - PE,pro,Andre Felipe,34' (1ºT),34.0
Brasileirao,2017,27,Ilha do Retiro,mandante,SPORT - PE,pro,Matheus Ferraz,19' (2ºT),64.0
Brasileirao,2017,27,Ilha do Retiro,mandante,SPORT - PE,pro,Andre Felipe,28' (2ºT),73.0
Brasileirao,2017,27,Ilha do Retiro,mandante,SPORT - PE,pro,Andre Felipe,38' (2ºT),83.0
Brasileirao,2017,27,Ilha do Retiro,visitante,GREMIO - RS,pro,Fernandinho,41' (2ºT),86.0
Brasileirao,2017,28,Arena Fonte Nova,visitante,CORITIBA - PR,pro,Rildo,26' (2ºT),71.0
Brasileirao,2017,29,Serra Dourada,visitante,CORINTHIANS - SP,pro,Rodrigo Sam,27' (1ºT),27.0
Brasileirao,2017,30,Arena Condá,mandante,CHAPECOENSE - SC,pro,Wellington Paulista,16' (1ºT),16.0
Brasileirao,2017,30,Arena Condá,mandante,CHAPECOENSE - SC,pro,Reinaldo,37' (1ºT),37.0
Brasileirao,2017,31,Maracanã,mandante,FLUMINENSE - RJ,pro,Richarlison,32' (1ºT),32.0
